TVA,android,androidTV,chiclet,fireTV,iOS,tvOS,web,chromecast,Playback Hours
8455700605838737,0,0,0-0,8.8.0.34004,8.8.0.34004,8.8.0.34004,8.8.2,0,16.48
5555555555555555,0,0,0-0,0,0,0,0,0,0.0
8455100605318121,8.8.0.34004,0,0-0,0,0,0,0,0,2.15
8455800510469311,0,0,0-0,0,0,0,0,0,0.0
8455700624814487,0,0,8.9.0.36063-20210212,8.8.0.34004,8.8.0.34004,0,0,0,7.55
8455800601627124,0,0,8.9.0.36063-20210518,0,0,0,0,0,1.39
8455700606190690,0,0,8.9.0.36063-20210224,0,0,0,0,0,0.0
8455700604431633,0,0,0-0,0,0,0,0,0,0.0
8455700500177652,8.8.0.34004,0,0-0,0,8.8.0.34004,0,0,0,0.51
8445700510634767,0,0,0-0,0,0,0,0,0,0.0
0000000000000000,0,0,0-0,0,0,0,0,0,0.0
8455700604189272,0,0,8.9.0.36063-20210518,8.8.0.34004,8.8.0.34004,0,0,0,20.08
8455700531554820,0,0,0-0,0,0,0,0,0,0.0
8455800510002054,0,0,8.9.0.36063-20210518,0,0,0,0,0,1.69
fibreop_5064557831,0,0,0-0,0,8.9.0.36030,0,0,0,5.67
8455100633819606,0,0,0-0,0,0,0,0,0,0.0
8455700511930248,8.8.0.34004,0,0-0,0,0,0,0,8.6.182,0.53
8455800510126830,0,0,0-0,0,0,0,0,0,0.0
8455800601694462,8.9.0.36059,0,8.9.0.36063-20210518,0,0,0,0,0,22.5
8455100665343951,0,0,0-0,8.9.0.36064,8.8.0.34004,0,0,0,12.21
8455800510429653,8.8.0.34004,0,8.8.0.34005-20210518,0,0,0,0,0,27.79
fibreop_7095796652,0,0,0-0,8.8.0.34004,0,0,0,0,24.03
fibreop_5068499234,8.9.0.36050,0,0-0,0,0,0,0,0,0.25
111111111111111111,0,0,0-0,0,0,0,0,0,0.0
8455800510293919,0,0,8.9.0.36065-20210518,0,0,0,0,0,10.52
8455800510366418,0,0,8.9.0.36063-20210518,8.8.0.34004,8.8.0.34004,0,0,0,68.56
8455700510533993,8.9.0.36059,8.9.0.36059,0-0,0,0,0,0,0,6.81
8455700607413190,0,8.8.0.34004,0-0,8.8.0.34004,8.8.0.34004,8.8.0.34004,0,0,27.08
fibreop_7093681788,0,0,0-0,0,8.9.0.36030,0,0,0,4.13
8455700629360932,0,0,0-0,0,8.9.0.36030,0,0,0,0.84
8455100501137450,0,0,0-0,0,8.9.0.36000,8.9.0.36030,0,0,0.54
8455800601362201,0,0,8.9.0.36063-20210518,0,8.9.0.36030,8.8.0.34004,0,0,14.63
8455700605864501,0,0,8.9.0.36065-20210518,0,8.8.0.34004,8.9.0.36030,0,0,5.53
fibreop_9024432156,8.9.0.36059,0,0-0,8.9.0.36059,0,0,0,0,0.87
8455700606106472,0,0,0-0,8.8.0.34004,8.8.0.34004,0,0,0,18.35
8455700510570037,8.9.0.36059,0,0-0,8.8.0.34004,0,0,0,0,34.18
8455700620975381,8.8.0.34004,0,8.8.0.34005-20210518,0,0,0,0,0,53.92
8455800510047703,0,0,0-0,0,0,8.8.0.34004,0,0,42.71
8455800601570852,0,0,8.9.0.36051-20210518,8.8.0.34004,0,8.9.0.36030,0,0,25.71
8455700625353758,8.9.0.36059,0,8.9.0.36065-20210518,0,0,0,8.8.2,0,4.94
8455700600491821,0,8.8.0.34004,0-0,0,8.8.0.34004,0,0,0,1.71
8455100665672219,8.8.0.34004,0,8.9.0.36065-20210518,0,0,0,0,0,32.9
8455800603118635,0,0,8.8.0.34005-20200615,8.9.0.36059,8.9.0.36030,0,0,0,2.96
8455700502285966,0,0,8.9.0.36063-20210224,0,8.8.0.34004,8.8.0.34004,8.8.2,0,3.32
8455800500154576,0,0,0-0,0,0,0,0,0,0.0
8455700601001611,0,0,0-0,0,8.8.0.34004,0,8.8.2,8.6.182,0.0
22222222222222222,0,0,0-0,0,0,0,0,0,0.0
8455700513241388,0,0,0-0,0,8.9.0.36030,0,0,0,0.49
8455700500176571,0,0,0-0,0,8.9.0.36030,0,0,0,3.55
8455700601733247,0,0,0-0,0,8.9.0.36030,0,0,0,93.78
8455700510158742,0,8.9.0.36059,8.9.0.36063-20210224,0,8.8.0.34004,8.9.0.36021,0,0,3.87
8455700602268656,8.8.0.34004,0,0-0,0,0,0,8.8.2,0,0.29
8455700515310611,0,0,0-0,0,0,0,0,0,0.0
fibreop_5067382826,0,0,0-0,0,0,0,0,0,0.0
8455800510454339,0,0,8.8.0.34005-20210518,0,8.8.0.34004,8.8.0.34004,0,0,14.45
8455700628520601,0,0,0-0,0,8.8.0.34004,8.8.0.34004,8.8.2,8.6.182,7.09
8455700606476719,8.8.0.34004,8.9.0.36064,8.9.0.36065-20210607,8.9.0.36067,8.11.0.40044,8.11.0.40044,8.9.20,8.6.182,34.03
8455800602429843,0,0,8.9.0.36063-20210518,0,8.9.0.36030,0,0,0,9.5
8455700604973881,0,0,0-0,0,8.8.0.34004,0,0,0,5.87
fibreop_9028643670,0,0,8.9.0.36065-20210518,0,8.8.0.34004,8.8.0.34004,0,0,82.28
3333333333,0,0,0-0,0,0,0,0,0,0.0
8455800500141078,0,0,0-0,0,8.8.0.34004,8.6.0.30666,8.8.2,0,0.0
8455800510154012,0,0,8.9.0.36063-20210518,0,8.8.0.34004,8.9.0.36030,0,0,27.34
8455800601938398,8.9.0.36059,8.9.0.36059,8.9.0.36063-20210518,0,0,8.8.0.34004,0,0,8.93
8455800510234848,0,8.9.0.36059,8.9.0.36063-20210518,0,8.8.0.34004,8.8.0.34004,0,0,6.99
8455700512475896,0,0,0-0,0,8.9.0.36030,0,0,0,2.63
8455800500119405,0,0,8.9.0.36063-20210518,0,8.9.0.36030,0,0,0,0.0
8455700501356479,0,0,0-0,0,0,0,0,0,0.0
8455700500354533,0,0,0-0,0,8.9.0.36030,0,0,0,0.84
8455700622984555,0,0,0-0,0,0,0,0,0,0.0
fibreop_5068699819,0,0,0-0,0,0,8.9.0.36030,8.8.2,0,3.75
8455700605704582,0,0,0-0,0,8.9.0.36030,0,0,0,0.51
8455700607349147,0,0,0-0,0,8.9.0.36030,0,0,8.6.182,12.64
8455100602321821,0,0,8.9.0.36063-20210518,0,8.9.0.36030,0,0,0,4.17
8455800601920503,0,0,8.9.0.36063-20210518,0,8.8.0.34004,8.8.0.34004,0,0,16.83
8455700510306176,0,0,8.9.0.36063-20210518,0,8.9.0.36030,0,0,0,21.76
8455800601717560,0,0,8.9.0.36063-20210518,0,8.8.0.34004,8.8.0.34004,8.8.2,0,6.61
8455800601094994,8.8.0.34004,8.8.0.34004,8.8.0.34005-20210518,0,8.8.0.34004,8.8.0.34004,8.8.2,0,112.54
8455700603176486,0,0,0-0,0,0,0,0,0,0.0
8455800510000074,0,0,0-0,0,8.11.0.40056,8.8.0.34004,0,0,90.77
8455800602429108,0,0,0-0,0,0,0,0,0,0.0
fibreop_5057382826,0,0,0-0,0,0,0,0,0,0.0
8455700606368940,8.9.0.36050,8.9.0.36059,8.9.0.36065-20210518,0,0,0,0,0,2.39
8455700625682602,8.9.0.36059,8.9.0.36059,8.9.0.36065-20210518,8.8.0.34004,0,0,8.8.2,0,77.87
845570060103878,0,0,0-0,0,0,0,0,0,0.0
8455800600993360,0,8.9.0.36064,0-0,0,0,0,0,0,0.0
8455700600057689,0,8.9.0.36059,0-0,0,8.8.0.34004,0,0,0,0.0
8455700602314039,8.9.0.36059,0,0-0,0,0,0,0,0,1.78
8455700510543786,8.9.0.36059,0,8.9.0.36065-20210518,0,8.11.0.40056,0,0,0,47.29
fibreop_5064553783,0,0,0-0,8.9.0.36059,0,0,0,0,17.84
8455800500048943,8.9.0.36059,0,8.9.0.36065-20210518,0,0,0,0,0,11.15
8455700606512778,0,0,8.9.0.36063-20210518,8.8.0.34004,8.9.0.36030,0,0,0,13.51
8455700600129124,8.9.0.36059,0,0-0,8.9.0.36059,8.9.0.36030,0,0,0,0.0
fibreop_5068491070,0,8.9.0.36059,0-0,0,0,0,0,0,0.0
8455800601459361,0,8.9.0.36059,8.9.0.36065-20210518,8.8.0.34004,0,0,0,0,14.55
8455100645767451,8.9.0.36059,8.9.0.36059,8.9.0.36063-20210518,0,0,0,8.8.2,0,21.66
8455700502592080,8.9.0.36059,0,0-0,8.9.0.36064,0,0,0,0,49.32
8455700512154400,8.9.0.36059,0,8.9.0.36063-20200401,0,0,0,0,0,0.61
8455800600440834,8.8.0.34004,8.8.0.34004,0-0,0,0,0,8.8.2,0,21.45
8455800510239300,8.9.0.36050,0,8.9.0.36063-20210518,8.8.0.34004,0,0,0,0,40.11
8455800510441435,0,0,8.9.0.36063-20210518,0,0,0,0,0,0.0
8455100606126895,0,0,8.9.0.36063-20210518,0,0,0,0,0,0.0
8455800510049014,8.9.0.36059,8.8.0.34004,0-0,0,8.8.0.34004,0,8.8.2,8.6.182,13.16
8455800510243930,8.9.0.36059,0,8.9.0.36063-20210518,8.8.0.34004,0,0,0,0,41.92
8455800510349380,0,0,8.9.0.36063-20210518,0,0,0,0,0,2.57
8455700607496773,0,0,0-0,0,8.5.3.30351,8.9.0.36030,8.8.2,0,12.2
8455700516136320,0,0,8.8.0.34005-20200318,0,0,0,0,0,0.78
8455700608313274,0,0,0-0,0,8.9.0.36030,8.9.0.36030,0,0,24.9
8455800603168903,0,0,0-0,0,8.9.0.36030,8.8.0.34004,8.9.20,0,4.08
8455700500043517,0,0,0-0,0,0,0,0,0,0.0
8455100501501895,0,0,8.9.0.36065-20210518,8.9.0.36059,0,0,0,0,0.0
8455800603443421,0,8.8.0.34004,0-0,0,8.9.0.36030,0,0,0,3.46
